,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Raichu,26,485,60,90,55,90,80,110,False,4,13,Mouse Pokémon,238,153,123,1,5,6,False,False,False
Raichu(Alolan Raichu),26,485,60,85,50,95,85,110,False,4,16,Mouse Pokémon,251,153,153,7,5,6,False,False,False
Sandshrew,27,300,50,75,85,20,30,40,False,11,13,Mouse Pokémon,206,153,203,1,6,12,False,False,False
Sandshrew(Alolan Sandshrew),27,300,50,75,90,10,35,40,False,12,18,Mouse Pokémon,226,153,224,7,6,12,False,False,False
Sandslash,28,450,75,100,110,45,55,65,False,11,13,Mouse Pokémon,206,153,203,1,6,12,False,False,False
Sandslash(Alolan Sandslash),28,450,75,100,120,25,65,65,False,12,18,Mouse Pokémon,226,153,224,7,6,12,False,False,False
Nidoran♀,29,275,55,47,52,40,40,41,False,15,13,Poison Pin Pokémon,169,197,98,1,6,11,False,False,False
Nidorina,30,365,70,62,67,55,55,56,False,15,13,Poison Pin Pokémon,169,197,98,1,13,12,False,False,False
Nidoqueen,31,505,90,92,87,75,85,76,False,15,11,Drill Pokémon,169,197,217,1,13,12,False,False,False
Nidoran♂,32,273,46,57,40,40,40,50,False,15,13,Poison Pin Pokémon,169,197,98,1,6,11,False,False,False
Nidorino,33,365,61,72,57,55,55,65,False,15,13,Poison Pin Pokémon,169,197,98,1,6,11,False,False,False
Nidoking,34,505,81,102,77,85,75,85,False,15,11,Drill Pokémon,169,197,217,1,6,11,False,False,False
Clefairy,35,323,70,45,48,60,65,35,False,5,13,Fairy Pokémon,42,130,74,1,5,12,False,False,False
Clefable,36,483,95,70,73,95,90,60,False,5,13,Fairy Pokémon,42,130,276,1,5,12,False,False,False
Vulpix,37,299,38,41,40,50,65,65,False,7,13,Fox Pokémon,68,153,56,1,6,12,False,False,False
Vulpix(Alolan Vulpix),37,299,38,41,40,50,65,65,False,12,13,Fox Pokémon,226,153,227,7,6,12,False,False,False
Ninetales,38,505,73,76,75,81,100,100,False,7,13,Fox Pokémon,68,153,56,1,6,12,False,False,False
Ninetales(Alolan Ninetales),38,505,73,67,75,81,100,109,False,12,5,Fox Pokémon,226,153,227,7,6,12,False,False,False
Jigglypuff,39,270,115,45,20,45,25,20,False,14,5,Balloon Pokémon,42,33,74,1,5,12,False,False,False
Wigglytuff,40,435,140,70,45,85,50,45,False,14,5,Balloon Pokémon,42,33,75,1,5,12,False,False,False
Zubat,41,245,40,45,35,30,40,55,False,15,8,Bat Pokémon,110,153,108,1,7,12,False,False,False
Golbat,42,455,75,80,70,65,75,90,False,15,8,Bat Pokémon,110,153,108,1,7,12,False,False,False
Oddish,43,320,45,50,55,75,65,30,False,10,15,Weed Pokémon,27,153,201,1,8,12,False,False,False
Gloom,44,395,60,65,70,85,75,40,False,10,15,Weed Pokémon,27,153,243,1,8,12,False,False,False
Vileplume,45,490,75,80,85,110,90,50,False,10,15,Flower Pokémon,27,153,60,1,8,12,False,False,False
Paras,46,285,35,70,55,45,55,25,False,1,10,Mushroom Pokémon,60,57,43,1,2,8,False,False,False
Parasect,47,405,60,95,80,60,80,30,False,1,10,Mushroom Pokémon,60,57,43,1,2,8,False,False,False
Venonat,48,305,60,55,50,40,55,45,False,1,15,Insect Pokémon,34,266,201,1,2,12,False,False,False
Venomoth,49,450,70,65,60,90,75,90,False,1,15,Poison Moth Pokémon,219,266,296,1,2,12,False,False,False
Diglett,50,265,10,55,25,35,45,95,False,11,13,Mole Pokémon,206,9,202,1,6,12,False,False,False
Diglett(Alolan Diglett),50,265,10,55,30,35,45,90,False,11,18,Mole Pokémon,206,260,202,7,6,12,False,False,False
Dugtrio,51,425,35,100,50,50,70,120,False,11,13,Mole Pokémon,206,9,202,1,6,12,False,False,False
Dugtrio(Alolan Dugtrio),51,425,35,100,60,50,70,110,False,11,18,Mole Pokémon,206,260,202,7,6,12,False,False,False
Meowth,52,290,40,45,35,40,40,90,False,14,13,Scratch Cat Pokémon,165,261,278,1,6,12,False,False,False
Meowth(Alolan Meowth),52,290,40,35,35,50,40,90,False,2,13,Scratch Cat Pokémon,165,261,191,7,6,12,False,False,False
Meowth(Galarian Meowth),52,290,50,65,55,40,40,40,False,18,13,Scratch Cat Pokémon,165,268,278,8,6,12,False,False,False
Persian,53,440,65,70,60,65,65,115,False,14,13,Classy Cat Pokémon,124,261,278,1,6,12,False,False,False
Persian(Alolan Persian),53,440,65,60,60,75,65,115,False,2,13,Classy Cat Pokémon,77,261,191,7,6,12,False,False,False
Psyduck,54,320,50,52,48,65,50,55,False,19,13,Duck Pokémon,43,29,254,1,6,14,False,False,False
Golduck,55,500,80,82,78,95,80,85,False,19,13,Duck Pokémon,43,29,254,1,6,14,False,False,False
Mankey,56,305,40,80,35,35,45,70,False,6,13,Pig Monkey Pokémon,282,6,49,1,6,12,False,False,False
Primeape,57,455,65,105,60,60,70,95,False,6,13,Pig Monkey Pokémon,282,6,49,1,6,12,False,False,False
Growlithe,58,350,55,70,45,70,50,60,False,7,13,Puppy Pokémon,112,68,116,1,6,12,False,False,False
Growlithe(Hisuian Growlithe),58,350,60,75,45,65,50,55,False,7,17,Puppy Pokémon,112,68,198,1,6,12,False,False,False
Arcanine,59,555,90,110,80,100,80,95,False,7,13,Legendary Pokémon,112,68,116,1,6,12,False,False,False
Arcanine(Hisuian Arcanine),59,555,95,115,80,95,80,90,False,7,17,Legendary Pokémon,112,68,198,1,6,12,False,False,False
Poliwag,60,300,40,50,40,40,40,90,False,19,13,Tadpole Pokémon,285,43,254,1,14,12,False,False,False
Poliwhirl,61,385,65,65,65,50,50,90,False,19,13,Tadpole Pokémon,285,43,254,1,14,12,False,False,False
Poliwrath,62,510,90,95,95,70,90,70,False,19,6,Tadpole Pokémon,285,43,254,1,14,12,False,False,False
Abra,63,310,25,20,15,105,55,90,False,16,13,Psi Pokémon,257,110,130,1,9,12,False,False,False
Kadabra,64,400,40,35,30,120,70,105,False,16,13,Psi Pokémon,257,110,130,1,9,12,False,False,False
Alakazam,65,500,55,50,45,135,95,120,False,16,13,Psi Pokémon,257,110,130,1,9,12,False,False,False
Alakazam(Mega Alakazam),65,600,55,50,65,175,105,150,True,16,13,Psi Pokémon,271,153,153,6,9,12,False,False,False
Machop,66,305,70,80,50,35,35,35,False,6,13,Superpower Pokémon,89,152,239,1,9,12,False,False,False
Machoke,67,405,80,100,70,50,60,45,False,6,13,Superpower Pokémon,89,152,239,1,9,12,False,False,False
Machamp,68,505,90,130,80,65,85,55,False,6,13,Superpower Pokémon,89,152,239,1,9,12,False,False,False
Bellsprout,69,300,50,75,35,70,30,40,False,10,15,Flower Pokémon,27,153,80,1,8,12,False,False,False
Weepinbell,70,390,65,90,50,85,45,55,False,10,15,Flycatcher Pokémon,27,153,80,1,8,12,False,False,False
Victreebel,71,490,80,105,65,100,70,70,False,10,15,Flycatcher Pokémon,27,153,80,1,8,12,False,False,False
Tentacool,72,335,40,40,35,50,100,70,False,19,15,Jellyfish Pokémon,28,126,190,1,16,12,False,False,False
Tentacruel,73,515,80,70,65,80,120,100,False,19,15,Jellyfish Pokémon,28,126,190,1,16,12,False,False,False
Geodude,74,300,40,80,100,30,30,20,False,17,11,Rock Pokémon,198,247,206,1,10,12,False,False,False
Geodude(Alolan Geodude),74,300,40,80,100,30,30,20,False,17,4,Rock Pokémon,133,247,79,7,10,12,False,False,False
Graveler,75,390,55,95,115,45,45,35,False,17,11,Rock Pokémon,198,247,206,1,10,12,False,False,False
Graveler(Alolan Graveler),75,390,55,95,115,45,45,35,False,17,4,Rock Pokémon,133,247,79,7,10,12,False,False,False
Golem,76,495,80,120,130,55,65,45,False,17,11,Megaton Pokémon,198,247,206,1,10,12,False,False,False
Golem(Alolan Golem),76,495,80,120,130,55,65,45,False,17,4,Megaton Pokémon,133,247,79,7,10,12,False,False,False
Ponyta,77,410,50,85,55,65,65,90,False,7,13,Fire Horse Pokémon,201,68,66,1,6,12,False,False,False
Ponyta(Galarian Ponyta),77,410,50,85,55,65,65,90,False,16,13,Fire Horse Pokémon,201,162,8,8,6,12,False,False,False
Rapidash,78,500,65,100,70,80,80,105,False,7,13,Fire Horse Pokémon,201,68,66,1,6,12,False,False,False
Rapidash(Galarian Rapidash),78,500,65,100,70,80,80,105,False,16,5,Fire Horse Pokémon,201,162,8,8,6,12,False,False,False
Slowpoke,79,315,90,65,65,40,40,15,False,19,16,Dopey Pokémon,155,160,195,1,11,14,False,False,False
Slowpoke(Galarian Slowpoke),79,315,90,65,65,40,40,15,False,16,13,Dopey Pokémon,80,160,195,8,11,14,False,False,False
Slowbro,80,490,95,75,110,100,80,30,False,19,16,Hermit Crab Pokémon,155,160,195,1,11,14,False,False,False
Slowbro(Mega Slowbro),80,590,95,75,180,130,80,30,True,19,16,Hermit Crab Pokémon,218,153,153,6,11,14,False,False,False
Slowbro(Galarian Slowbro),80,490,95,100,95,100,70,30,False,15,16,Hermit Crab Pokémon,187,160,195,8,11,14,False,False,False
Magnemite,81,325,25,35,70,95,55,45,False,4,18,Magnet Pokémon,133,247,5,1,10,12,False,False,False
Magneton,82,465,50,60,95,120,70,70,False,4,18,Magnet Pokémon,133,247,5,1,10,12,False,False,False
Farfetch'd,83,377,52,90,55,58,62,60,False,14,8,Wild Duck Pokémon,117,110,49,1,6,7,False,False,False
Farfetch'd(Galarian Farfetch'd),83,377,52,95,55,58,62,55,False,6,13,Wild Duck Pokémon,239,153,209,8,6,7,False,False,False
Doduo,84,310,35,85,45,35,35,75,False,14,8,Twin Bird Pokémon,201,58,259,1,7,12,False,False,False
Dodrio,85,470,60,110,70,60,60,110,False,14,8,Triple Bird Pokémon,201,58,259,1,7,12,False,False,False
Seel,86,325,65,45,55,45,70,45,False,19,13,Sea Lion Pokémon,265,99,101,1,6,14,False,False,False
Dewgong,87,475,90,70,80,70,95,70,False,19,12,Sea Lion Pokémon,265,99,101,1,6,14,False,False,False
Grimer,88,325,80,80,50,40,50,25,False,15,13,Sludge Pokémon,243,244,170,1,1,12,False,False,False
Grimer(Alolan Grimer),88,325,80,80,50,40,50,25,False,15,2,Sludge Pokémon,170,80,173,7,1,12,False,False,False
Muk,89,500,105,105,75,65,100,50,False,15,13,Sludge Pokémon,243,244,170,1,1,12,False,False,False
Muk(Alolan Muk),89,500,105,105,75,65,100,50,False,15,2,Sludge Pokémon,170,80,173,7,1,12,False,False,False
Shellder,90,305,30,65,100,45,25,40,False,19,13,Bivalve Pokémon,218,222,158,1,16,12,False,False,False
Cloyster,91,525,50,95,180,85,45,70,False,19,12,Bivalve Pokémon,218,222,158,1,16,12,False,False,False
Gastly,92,310,30,35,30,100,35,80,False,9,15,Gas Pokémon,120,153,153,1,1,12,False,False,False
Haunter,93,405,45,50,45,115,55,95,False,9,15,Gas Pokémon,120,153,153,1,1,12,False,False,False
Gengar,94,500,60,65,60,130,75,110,False,9,15,Shadow Pokémon,41,153,153,1,1,12,False,False,False
Gengar(Mega Gengar),94,600,60,65,80,170,95,130,True,9,15,Shadow Pokémon,214,153,153,6,1,12,False,False,False
Onix,95,385,35,45,160,30,45,70,False,17,11,Rock Snake Pokémon,198,247,289,1,10,12,False,False,False
Drowzee,96,328,60,48,45,43,90,42,False,16,13,Hypnosis Pokémon,111,73,110,1,9,12,False,False,False
Hypno,97,483,85,73,70,73,115,67,False,16,13,Hypnosis Pokémon,111,73,110,1,9,12,False,False,False
Krabby,98,325,30,105,90,25,25,50,False,19,13,River Crab Pokémon,100,218,217,1,16,12,False,False,False
Kingler,99,475,55,130,115,50,50,75,False,19,13,Pincer Pokémon,100,218,217,1,16,12,False,False,False
Voltorb,100,330,40,30,50,55,55,100,False,4,13,Ball Pokémon,231,238,3,1,10,12,False,False,False
Voltorb(Hisuian Voltorb),100,330,40,30,50,55,55,100,False,4,10,Ball Pokémon,231,238,3,1,10,12,False,False,False
Electrode,101,490,60,50,70,80,80,150,False,4,13,Ball Pokémon,231,238,3,1,10,12,False,False,False
Electrode(Hisuian Electrode),101,490,60,50,70,80,80,150,False,4,10,Ball Pokémon,231,238,3,1,10,12,False,False,False
Exeggcute,102,325,60,40,80,60,45,40,False,10,16,Egg Pokémon,27,153,91,1,8,12,False,False,False
Exeggutor,103,530,95,95,85,125,75,55,False,10,16,Coconut Pokémon,27,153,91,1,8,12,False,False,False
Exeggutor(Alolan Exeggutor),103,530,95,105,85,125,75,45,False,10,3,Coconut Pokémon,75,153,91,7,8,12,False,False,False
Cubone,104,320,50,50,95,40,50,35,False,11,13,Lonely Pokémon,198,123,17,1,11,12,False,False,False
Marowak,105,425,60,80,110,50,80,45,False,11,13,Bone Keeper Pokémon,198,123,17,1,11,12,False,False,False
Marowak(Alolan Marowak),105,425,60,80,110,50,80,45,False,7,9,Bone Keeper Pokémon,41,123,198,7,11,12,False,False,False
Hitmonlee,106,455,50,120,53,35,110,87,False,6,13,Kicking Pokémon,124,193,277,1,9,12,False,False,False
Hitmonchan,107,455,50,105,79,35,110,76,False,6,13,Punching Pokémon,117,115,110,1,9,12,False,False,False
Lickitung,108,385,90,55,75,60,75,30,False,14,13,Licking Pokémon,160,155,29,1,11,12,False,False,False
Koffing,109,340,40,65,95,60,45,35,False,15,13,Poison Gas Pokémon,120,151,243,1,1,12,False,False,False
Weezing,110,490,65,90,120,85,70,60,False,15,13,Poison Gas Pokémon,120,151,243,1,1,12,False,False,False
Weezing(Galarian Weezing),110,490,65,90,120,85,70,60,False,15,5,Poison Gas Pokémon,120,151,140,8,1,12,False,False,False
Rhyhorn,111,345,80,85,95,30,30,25,False,11,17,Spikes Pokémon,123,198,193,1,6,11,False,False,False
Rhydon,112,485,105,130,120,45,45,40,False,11,17,Drill Pokémon,123,198,193,1,6,11,False,False,False
Chansey,113,450,250,5,5,35,105,50,False,14,13,Egg Pokémon,149,212,92,1,5,12,False,False,False
Tangela,114,435,65,55,115,100,40,60,False,10,13,Vine Pokémon,27,119,195,1,8,12,False,False,False
Kangaskhan,115,490,105,95,80,40,80,90,False,14,13,Parent Pokémon,58,209,110,1,11,12,False,False,False
Kangaskhan(Mega Kangaskhan),115,590,105,125,100,60,100,100,True,14,13,Parent Pokémon,161,153,153,6,11,12,False,False,False
Horsea,116,295,30,40,70,70,25,60,False,19,13,Dragon Pokémon,254,225,43,1,4,14,False,False,False
Seadra,117,440,55,65,95,95,45,85,False,19,13,Dragon Pokémon,169,225,43,1,4,14,False,False,False
Goldeen,118,320,45,67,60,35,50,63,False,19,13,Goldfish Pokémon,254,288,123,1,15,12,False,False,False
Seaking,119,450,80,92,65,65,80,68,False,19,13,Goldfish Pokémon,254,288,123,1,15,12,False,False,False
Staryu,120,340,30,45,55,70,55,85,False,19,13,Star Shape Pokémon,104,149,5,1,16,12,False,False,False
Starmie,121,520,60,75,85,100,85,115,False,19,16,Mysterious Pokémon,104,149,5,1,16,12,False,False,False
Mr. Mime,122,460,40,45,65,100,120,90,False,16,5,Barrier Pokémon,231,65,261,1,9,12,False,False,False
Mr. Mime(Galarian Mr. Mime),122,460,50,65,65,90,90,100,False,12,16,Barrier Pokémon,282,210,101,8,9,12,False,False,False
Scyther,123,500,70,110,80,55,80,105,False,1,8,Mantis Pokémon,252,261,239,1,2,12,False,False,False
Jynx,124,455,65,50,35,115,95,95,False,12,16,Human Shape Pokémon,155,73,57,1,9,12,False,False,False
Electabuzz,125,490,65,83,57,95,85,105,False,4,13,Electric Pokémon,238,153,282,1,9,12,False,False,False
Magmar,126,495,65,95,57,100,85,93,False,7,13,Spitfire Pokémon,66,153,282,1,9,12,False,False,False
Pinsir,127,500,65,125,100,55,70,85,False,1,13,Stag Beetle Pokémon,100,141,144,1,2,12,False,False,False
Pinsir(Mega Pinsir),127,600,65,155,120,65,90,105,True,1,8,Stag Beetle Pokémon,2,153,153,6,2,12,False,False,False
Tauros,128,490,75,100,95,40,70,110,False,14,13,Wild Bull Pokémon,112,6,217,1,6,12,False,False,False
Tauros(Combat Breed),128,490,75,110,105,30,70,100,False,6,13,Wild Bull Pokémon,112,6,39,1,6,12,False,False,False
Tauros(Blaze Breed),128,490,75,110,105,30,70,100,False,6,7,Wild Bull Pokémon,112,6,39,1,6,12,False,False,False
Tauros(Aqua Breed),128,490,75,110,105,30,70,100,False,6,19,Wild Bull Pokémon,112,6,39,1,6,12,False,False,False
Magikarp,129,200,20,10,55,15,20,80,False,19,13,Fish Pokémon,254,153,191,1,4,15,False,False,False
Gyarados,130,540,95,125,79,60,100,81,False,19,8,Atrocious Pokémon,112,153,144,1,4,15,False,False,False
Gyarados(Mega Gyarados),130,640,95,155,109,70,130,81,True,19,2,Atrocious Pokémon,141,153,153,6,4,15,False,False,False
Lapras,131,535,130,85,80,85,95,60,False,19,12,Transport Pokémon,285,218,99,1,11,14,False,False,False
Ditto,132,288,48,48,48,48,48,48,False,14,13,Transform Pokémon,124,153,107,1,3,12,False,False,False
Eevee,133,325,55,55,50,45,65,55,False,14,13,Evolution Pokémon,201,1,8,1,6,12,False,False,False
Eevee(Partner Eevee),133,435,65,75,70,65,85,75,False,14,13,Evolution Pokémon,153,153,153,1,6,12,False,False,False
Vaporeon,134,525,130,65,60,110,95,65,False,19,13,Bubble Jet Pokémon,285,153,99,1,6,12,False,False,False
Jolteon,135,525,65,65,60,110,95,130,False,4,13,Lightning Pokémon,283,153,188,1,6,12,False,False,False
Flareon,136,525,65,130,60,95,110,65,False,7,13,Flame Pokémon,68,153,89,1,6,12,False,False,False
Porygon,137,395,65,60,70,85,75,40,False,14,13,Virtual Pokémon,271,53,5,1,10,12,False,False,False
Omanyte,138,355,35,40,100,90,55,35,False,17,19,Spiral Pokémon,254,218,289,1,14,16,False,False,False
Omastar,139,495,70,60,125,115,70,55,False,17,19,Spiral Pokémon,254,218,289,1,14,16,False,False,False
Kabuto,140,355,30,80,90,55,45,55,False,17,19,Shellfish Pokémon,254,17,289,1,14,16,False,False,False
Kabutops,141,495,60,115,105,65,70,80,False,17,19,Shellfish Pokémon,254,17,289,1,14,16,False,False,False
Aerodactyl,142,515,80,105,65,60,75,130,False,17,8,Fossil Pokémon,198,175,278,1,7,12,False,False,False
Aerodactyl(Mega Aerodactyl),142,615,80,135,85,70,95,150,True,17,8,Fossil Pokémon,268,153,153,6,7,12,False,False,False
Snorlax,143,540,160,110,65,65,110,30,False,14,13,Sleeping Pokémon,106,265,80,1,11,12,False,False,False
Articuno,144,580,90,85,100,95,125,85,False,12,8,Freeze Pokémon,175,153,226,1,13,12,True,False,False
Articuno(Galarian Articuno),144,580,90,85,85,125,100,95,False,16,8,Freeze Pokémon,33,153,153,8,13,12,True,False,False
Zapdos,145,580,90,90,85,125,90,100,False,4,8,Electric Pokémon,175,153,238,1,13,12,True,False,False
Zapdos(Galarian Zapdos),145,580,90,125,90,85,90,100,False,6,8,Electric Pokémon,49,153,153,8,13,12,True,False,False
Moltres,146,580,90,100,90,125,85,90,False,7,8,Flame Pokémon,175,153,66,1,13,12,True,False,False
Moltres(Galarian Moltres),146,580,90,85,90,100,125,90,False,2,8,Flame Pokémon,21,153,153,8,13,12,True,False,False
Dratini,147,300,41,64,45,50,50,50,False,3,13,Dragon Pokémon,216,153,134,1,4,14,False,False,False
Dragonair,148,420,61,84,65,70,70,70,False,3,13,Dragon Pokémon,216,153,134,1,4,14,False,False,False
Dragonite,149,600,91,134,95,100,100,80,False,3,8,Dragon Pokémon,110,153,145,1,4,14,False,False,False
Mewtwo,150,680,106,110,90,154,90,130,False,16,13,Genetic Pokémon,175,153,278,1,13,12,False,True,False
Mewtwo(Mega Mewtwo X),150,780,106,190,100,154,100,130,True,16,6,Genetic Pokémon,239,153,153,6,13,12,False,True,False
Mewtwo(Mega Mewtwo Y),150,780,106,150,70,194,120,140,True,16,13,Genetic Pokémon,111,153,153,6,13,12,False,True,False
Mew,151,600,100,100,100,100,100,100,False,16,13,New Species Pokémon,257,153,153,1,13,12,False,False,True
Chikorita,152,318,45,49,65,49,65,45,False,10,13,Leaf Pokémon,159,153,119,2,8,11,False,False,False
Bayleef,153,405,60,62,80,63,80,60,False,10,13,Leaf Pokémon,159,153,119,2,8,11,False,False,False
Meganium,154,525,80,82,100,83,100,80,False,10,13,Herb Pokémon,159,153,119,2,8,11,False,False,False
Cyndaquil,155,309,39,52,43,60,50,65,False,7,13,Fire Mouse Pokémon,23,153,68,2,6,12,False,False,False
Quilava,156,405,58,64,58,80,65,80,False,7,13,Volcano Pokémon,23,153,68,2,6,12,False,False,False
Typhlosion,157,534,78,84,78,109,85,100,False,7,13,Volcano Pokémon,23,153,68,2,6,12,False,False,False
Typhlosion(Hisuian Typhlosion),157,534,73,84,78,119,85,95,False,7,9,Volcano Pokémon,23,153,75,2,6,12,False,False,False
Totodile,158,314,50,65,64,44,48,43,False,19,13,Big Jaw Pokémon,267,153,217,2,11,14,False,False,False
Croconaw,159,405,65,80,80,59,63,58,False,19,13,Big Jaw Pokémon,267,153,217,2,11,14,False,False,False
Feraligatr,160,530,85,105,100,79,83,78,False,19,13,Big Jaw Pokémon,267,153,217,2,11,14,False,False,False
Sentret,161,215,35,46,34,35,45,20,False,14,13,Scout Pokémon,201,117,75,2,6,12,False,False,False
Furret,162,415,85,76,64,45,55,90,False,14,13,Long Body Pokémon,201,117,75,2,6,12,False,False,False
Hoothoot,163,262,60,30,30,36,56,50,False,14,8,Owl Pokémon,111,117,266,2,7,12,False,False,False
Noctowl,164,452,100,50,50,86,96,70,False,14,8,Owl Pokémon,111,117,266,2,7,12,False,False,False
Ledyba,165,265,40,20,30,40,80,55,False,1,8,Five Star Pokémon,252,58,191,2,2,12,False,False,False
Ledian,166,390,55,35,50,55,110,85,False,1,8,Five Star Pokémon,252,58,115,2,2,12,False,False,False
Spinarak,167,250,40,60,40,40,40,30,False,1,15,String Spit Pokémon,252,111,225,2,2,12,False,False,False
Ariados,168,400,70,90,70,60,70,40,False,1,15,Long Leg Pokémon,252,111,225,2,2,12,False,False,False
Crobat,169,535,85,90,80,70,80,130,False,15,8,Bat Pokémon,110,153,108,2,7,12,False,False,False
Chinchou,170,330,75,38,38,56,56,67,False,19,4,Angler Pokémon,283,104,285,2,15,12,False,False,False
Lanturn,171,460,125,58,58,76,76,67,False,19,4,Light Pokémon,283,104,285,2,15,12,False,False,False
Pichu,172,205,20,40,15,35,35,60,False,4,13,Tiny Mouse Pokémon,238,153,123,2,13,12,False,False,False
Cleffa,173,218,50,25,28,45,55,15,False,5,13,Star Shape Pokémon,42,130,74,2,13,12,False,False,False
Igglybuff,174,210,90,30,15,40,20,15,False,14,5,Balloon Pokémon,42,33,74,2,13,12,False,False,False
Togepi,175,245,35,20,65,40,65,20,False,5,13,Spike Ball Pokémon,98,212,249,2,13,12,False,False,False
Togetic,176,405,55,40,85,80,105,40,False,5,8,Happiness Pokémon,98,212,249,2,5,7,False,False,False
Natu,177,320,40,50,45,70,45,70,False,16,8,Tiny Bird Pokémon,257,58,129,2,7,12,False,False,False
Xatu,178,470,65,75,70,95,70,95,False,16,8,Mystic Pokémon,257,58,129,2,7,12,False,False,False
Mareep,179,280,55,40,40,65,45,35,False,4,13,Wool Pokémon,238,153,167,2,6,11,False,False,False
Flaaffy,180,365,70,55,55,80,60,45,False,4,13,Wool Pokémon,238,153,167,2,6,11,False,False,False
Ampharos,181,510,90,75,85,115,90,55,False,4,13,Light Pokémon,238,153,167,2,6,11,False,False,False
